label,PLS2,CT,CT_delta,MT,MT_delta,min_coverage,n_hemispheres
lh_1,-0.0109441,2.27029,-12.7852,0.981338,2.5691,1,2
lh_10d,0.0026764,2.93929,-22.7309,0.85041,4.14534,1,2
lh_10pp,0.0665629,2.86006,-25.8866,0.873336,6.57826,1,2
lh_10r,0.0327874,2.69342,-21.2904,0.885597,4.63244,1,2
lh_10v,0.0272145,2.75845,-22.3181,0.888089,5.13556,1,2
lh_11l,0.0647977,2.76631,-25.4025,0.874825,7.28498,1,2
lh_13l,0.0160062,2.83366,-22.3548,0.872367,6.12066,1,2
lh_2,-0.00715308,2.34549,-13.8669,0.968637,2.42499,1,2
lh_23c,-0.00593474,2.65553,-14.9856,0.902994,2.66383,1,2
lh_23d,-0.0118795,2.6536,-13.7396,0.90092,2.3993,1,2
lh_24dd,-0.0225442,2.86933,-18.9576,0.957281,3.44828,1,2
lh_24dv,-0.00445048,2.8932,-17.197,0.911041,2.89434,1,2
lh_25,-0.0839533,2.91751,-17.0148,0.888027,4.07745,1,2
lh_31a,0.0025,2.67269,-15.6359,0.889135,3.15436,1,2
lh_31pd,-0.0045797,2.63133,-11.8756,0.898281,3.32152,1,2
lh_31pv,-0.0365122,2.56344,-9.73267,0.926714,3.03463,1,2
lh_33pr,-0.0392891,2.54748,-11.1731,0.902623,1.79746,1,2
lh_3a,-0.0197597,2.61998,-12.7121,0.9981,3.53806,1,2
lh_3b,-0.0162462,2.19539,-11.9898,0.984202,2.78311,1,2
lh_4,-0.0185882,2.80254,-14.1774,0.998518,3.66537,1,2
lh_43,0.0100349,2.96236,-16.3333,0.864466,4.51141,1,2
lh_44,0.0545669,2.87629,-17.0959,0.856383,4.48491,1,2
lh_45,0.0783183,2.83307,-21.0249,0.856336,5.32149,1,2
lh_46,0.0831813,2.77641,-19.0839,0.85997,4.25014,1,2
lh_47l,0.0635451,2.90854,-24.4284,0.845811,6.09417,1,2
lh_47m,0.0369448,2.91556,-27.2066,0.860541,6.68003,1,2
lh_47s,0.00975019,3.0052,-22.0513,0.860192,5.36055,1,2
lh_52,-0.0342597,2.85558,-14.1809,0.891884,3.26922,1,2
lh_55b,0.0399399,2.92848,-11.2628,0.923022,4.31489,1,2
lh_5L,0.00607449,2.47536,-19.5409,0.949026,2.15151,1,2
lh_5m,-0.0156262,2.53978,-18.686,1.00059,2.64468,1,2
lh_5mv,-0.0166234,2.62277,-19.1396,0.947633,2.63793,1,2
lh_6a,0.0370625,2.94506,-17.5456,0.919646,3.85146,1,2
lh_6d,-0.0101619,2.81608,-14.3346,0.986172,3.85827,1,2
lh_6ma,0.0206297,3.08732,-20.1669,0.904253,3.80554,1,2
lh_6mp,-0.0172228,2.92524,-16.4963,0.970945,4.03806,1,2
lh_6r,0.0301615,2.95361,-16.6022,0.854149,4.44517,1,2
lh_6v,0.0153505,2.94896,-11.7573,0.898849,4.83938,1,2
lh_7AL,0.0154588,2.535,-19.9426,0.931467,1.94645,1,2
lh_7Am,0.00612784,2.61969,-20.6802,0.917722,2.43072,1,2
lh_7PC,0.00960387,2.50489,-16.2487,0.934874,2.76357,1,2
lh_7PL,0.0154614,2.62205,-15.798,0.926092,3.20818,1,2
lh_7Pm,0.00214146,2.66052,-20.1262,0.91288,2.72131,1,2
lh_7m,0.00991102,2.61722,-12.2738,0.923387,3.04878,1,2
lh_8Ad,0.0613139,3.04148,-22.3583,0.860415,4.81703,1,2
lh_8Av,0.0802767,2.98307,-17.3905,0.87852,4.42525,1,2
lh_8BL,0.0471528,3.17091,-24.3423,0.854071,4.62304,1,2
lh_8BM,0.010878,3.26,-22.1124,0.858273,3.68964,1,2
lh_8C,0.08709,2.77611,-16.3247,0.879424,4.02387,1,2
lh_9-46d,0.0761894,2.73151,-19.308,0.860298,4.2839,1,2
lh_9a,0.0438133,2.88916,-21.5126,0.848516,4.56598,1,2
lh_9m,-0.0293202,3.08551,-23.0071,0.840483,4.03095,1,2
lh_9p,0.0423697,3.051,-24.5674,0.844278,4.76098,1,2
lh_A1,-0.0102207,2.77604,-11.8589,0.964609,6.01402,1,2
lh_A4,-0.00215044,3.0273,-14.1032,0.883001,5.80571,1,2
lh_A5,-0.00910593,3.00932,-15.1878,0.870374,5.75857,1,2
lh_AAIC,-0.0806954,3.7104,-12.9759,0.901941,1.24835,0.837338,2
lh_AIP,0.0121317,2.531,-15.0525,0.905,3.75084,1,2
lh_AVI,0.0107911,3.17,-19.5573,0.862672,4.01757,1,2
lh_DVT,0.00702415,2.57598,-14.525,0.943901,2.99812,1,2
lh_EC,-0.16,3.05352,0.131914,0.849771,3.23036,0.945486,2
lh_FEF,0.0268404,2.86151,-12.174,0.935377,3.63434,1,2
lh_FFC,-0.0193155,2.84947,-17.0069,0.9081,3.49604,1,2
lh_FOP1,0.00670769,2.98536,-20.3716,0.838694,4.3798,1,2
lh_FOP2,-0.00124897,3.06439,-18.3337,0.863096,2.92622,1,2
lh_FOP3,-0.00452171,3.32953,-18.6134,0.883182,0.519504,1,2
lh_FOP4,0.0145512,3.13272,-18.1365,0.845979,3.13493,1,2
lh_FOP5,0.048331,2.82339,-19.0115,0.851964,4.93061,1,2
lh_FST,0.00285763,2.84738,-14.609,0.898391,3.45466,1,2
